Question,Method,Answer,Confidence,NLL,Time (s),Correct (Y/N)
What was Mahindra & Mahindra's total income from operations in 2023-24?,Vanilla GPT-2,"The total income from operations in 2023-24 was Rs. 1,000 crore.
Mahindra & Mahindra's total income from operations in 2023-24 was Rs. 1,000 crore.
Mahindra & Mah",0.1819,1.7045,3.97,N
What was the PAT (Profit After Tax) for M&M standalone in 2023-24?,Vanilla GPT-2,The PAT was a tax on the sale of M&M products. The PAT was a tax on the sale of M&M products. The PAT was a tax on the sale of M&M products. The PAT was a tax on the sale,0.1425,1.9482,2.53,N
What was M&M's automotive volume in 2023-24?,Vanilla GPT-2,"The volume of M&M's automotive sales in 2023-24 was about $1.5 billion.
Source: M&M's Automotive Volume in 2023-24
Source: M&M's Automotive Volume in 2023",0.1426,1.9476,2.3,N
What was the tractor volume for Mahindra in 2023-24?,Vanilla GPT-2,"The volume of the tractor was about 1,000 kg.
Question: What was the volume of the tractor for Mahindra in 2023-24?
Answer: The volume of the tractor was about 1,000 kg.
Question:",0.1395,1.9698,2.3,N
What is Mahindra's market share in SUVs?,Vanilla GPT-2,"The market share of SUVs is about 50% in the country. The market share of SUVs is about 50% in the country.
Mahindra's market share in SUVs is about 50% in the country.
Mahindra",0.182,1.704,2.37,N
What is Mahindra's market share in farm equipment?,Vanilla GPT-2,"Mahindra's market share in farm equipment is about 20% of the total market share of the country.
Mahindra's market share in farm equipment is about 20% of the total market share of the country.
Mahindra's",0.1931,1.6448,2.3,N
What was the capex plan announced by Mahindra Group?,Vanilla GPT-2,The company announced the capex plan for the first phase of the project in May. The company has been working on the project for a long time. The company has been working on the project for a long time. The company has been working on the,0.1543,1.8691,2.3,N
What milestone did Mahindra Finance achieve in F24?,Vanilla GPT-2,The F24 was a milestone for Mahindra Finance. It was a milestone for the company. It was a milestone for the company. It was a milestone for the company. It was a milestone for the company. It was a milestone for the,0.1599,1.8329,2.27,N
What was the growth in valuation of Mahindra's Growth Gems?,Vanilla GPT-2,The growth of Mahindra's Growth Gems was a result of the growth of the market for the Mahindra's Growth Gems. The growth of the market for the Mahindra's Growth Gems was a result of the growth of the market for,0.1593,1.8371,2.64,N
What was M&M's share of renewable energy in F24?,Vanilla GPT-2,"The share of renewable energy in F24 was about 1.5% of the total F24 electricity market.
Source: F24 Renewables
Source: F24 Renewables
Source: F24 Renewables
Source: F24 Renewables",0.1389,1.9739,2.37,N
What is the capital of France?,Vanilla GPT-2,"The capital of France is the capital of France.
The capital of France is the capital of France.
The capital of France is the capital of France.
The capital of France is the capital of France.
The capital of France is the",0.4402,0.8205,2.29,N
